task_id	hash	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action
1071	50/3dc51f	1488565	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_QUAL	CHC2115N	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_QUAL (CHC2115N)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-vcftools-0.1.16--he513fc3_4.img	1	518400000	-	1073741824	1	1677288716719	1677288720709	1677288740402	23683	13000	qbic	83.7	0.0	14884864	33103872	14884864	33107968	159034394	51085	309	830	160436959	61440	1139	3301	/sfs/9/ws/iizha01-QSARK/intervals/fastp_16_intervals_0/work/50/3dc51fefdb2eeae835e5c79634b9a7	true	-
1068	92/754b55	1488562	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_DEEPVARIANT:TABIX_VC_DEEPVARIANT_VCF	CHC2115N	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_DEEPVARIANT:TABIX_VC_DEEPVARIANT_VCF (CHC2115N)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-tabix-1.11--hdfd78af_0.img	1	518400000	-	1073741824	1	1677288708794	1677288715397	1677288750400	41606	31000	qbic	9.6	0.0	19738624	26570752	19738624	26624000	159065403	1624289	5054	134	159586003	1630208	15124	715	/sfs/9/ws/iizha01-QSARK/intervals/fastp_16_intervals_0/work/92/754b551867a0a8f80f00fca50c026c	true	-
1070	20/0a9679	1488567	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_SUMMARY	CHC2115N	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_SUMMARY (CHC2115N)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-vcftools-0.1.16--he513fc3_4.img	1	518400000	-	1073741824	1	1677288724144	1677288730399	1677288755461	31317	18000	qbic	89.2	0.0	14860288	33103872	14860288	33107968	159034390	944	309	32	160436957	12288	1307	5328	/sfs/9/ws/iizha01-QSARK/intervals/fastp_16_intervals_0/work/20/0a96791958c19886a33a55f55afb8b	true	-
1072	ab/ecd74f	1488563	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_COUNT	CHC2115N	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_COUNT (CHC2115N)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-vcftools-0.1.16--he513fc3_4.img	1	518400000	-	1073741824	1	1677288711199	1677288720707	1677288760400	49201	24000	qbic	84.7	0.0	3006464	11575296	3006464	11579392	159034419	915	309	32	160436962	12288	9	0	/sfs/9/ws/iizha01-QSARK/intervals/fastp_16_intervals_0/work/ab/ecd74f106b0b3bf621610c66ce60da	true	-
1073	83/772108	1488566	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:BCFTOOLS_STATS	CHC2115N	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:BCFTOOLS_STATS (CHC2115N)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-bcftools-1.16--hfe4b78e_1.img	1	518400000	-	1073741824	1	1677288721700	1677288725399	1677288761741	40041	23000	qbic	20.6	0.0	12455936	192552960	12455936	192790528	159109602	29353	5063	25	161865471	36864	5076	896	/sfs/9/ws/iizha01-QSARK/intervals/fastp_16_intervals_0/work/83/772108d9e0b403125de3b035c2d922	true	-
1069	44/e6c563	1488564	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_DEEPVARIANT:TABIX_VC_DEEPVARIANT_GVCF	CHC2115N	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_DEEPVARIANT:TABIX_VC_DEEPVARIANT_GVCF (CHC2115N)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-tabix-1.11--hdfd78af_0.img	1	518400000	-	1073741824	1	1677288713648	1677288720708	1677288775440	61792	53000	qbic	42.2	0.0	25214976	33222656	25214976	33226752	988450581	810339	30369	73	988971177	819200	18769	7662	/sfs/9/ws/iizha01-QSARK/intervals/fastp_16_intervals_0/work/44/e6c5633f4c621e62310e8c80ffdcfa	true	-
801	66/2c9500	1456364	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_DEEPVARIANT:DEEPVARIANT	CHC2113N	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_DEEPVARIANT:DEEPVARIANT (CHC2113N)	COMPLETED	0	-	/nfsmounts/container/google-deepvariant-1.4.0.img	6	518400000	-	38654705664	1	1677172043137	1677172049571	1677289015534	116972397	116961952	qbic	558.9	4.6	24677117952	26604662784	24677117952	26604744704	1353313203423	107448019824	2128523	2168106	1255915203762	108776634686	31109823	105802256	/sfs/9/ws/iizha01-QSARK/intervals/fastp_16_intervals_0/work/66/2c95009050a575bf651372baeae12b	-	-
1078	64/80d465	1488571	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_QUAL	CHC2113N	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_QUAL (CHC2113N)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-vcftools-0.1.16--he513fc3_4.img	1	518400000	-	1073741824	1	1677289040885	1677289044238	1677289069240	28355	17000	qbic	68.5	0.0	2932736	11575296	2932736	11579392	160210632	48652	310	798	161613176	57344	22	1	/sfs/9/ws/iizha01-QSARK/intervals/fastp_16_intervals_0/work/64/80d4655c3c68213c7b2641690208a3	true	-
1075	a1/8a33f3	1488569	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_DEEPVARIANT:TABIX_VC_DEEPVARIANT_VCF	CHC2113N	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_DEEPVARIANT:TABIX_VC_DEEPVARIANT_VCF (CHC2113N)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-tabix-1.11--hdfd78af_0.img	1	518400000	-	1073741824	1	1677289034231	1677289039236	1677289079242	45011	31000	qbic	10.7	0.0	21319680	28123136	21319680	28127232	160241621	1624481	5091	134	160762220	1630208	16061	853	/sfs/9/ws/iizha01-QSARK/intervals/fastp_16_intervals_0/work/a1/8a33f39e6ec16971e8c25ce44f9a1c	true	-
1079	60/53c619	1488570	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:BCFTOOLS_STATS	CHC2113N	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:BCFTOOLS_STATS (CHC2113N)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-bcftools-1.16--hfe4b78e_1.img	1	518400000	-	1073741824	1	1677289037528	1677289044236	1677289079324	41796	35000	qbic	15.9	0.0	12357632	192552960	12357632	192790528	160285841	28740	5099	25	163041688	36864	15589	823	/sfs/9/ws/iizha01-QSARK/intervals/fastp_16_intervals_0/work/60/53c619c2768580ecfc42dc32ff1ee2	true	-
1076	d5/cce612	1488572	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_COUNT	CHC2113N	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_COUNT (CHC2113N)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-vcftools-0.1.16--he513fc3_4.img	1	518400000	-	1073741824	1	1677289043517	1677289049239	1677289084241	40724	23000	qbic	85.0	0.0	2936832	11575296	2936832	11579392	160210636	915	310	32	161613179	12288	9	1	/sfs/9/ws/iizha01-QSARK/intervals/fastp_16_intervals_0/work/d5/cce612b94187610d5077ad0e26676d	true	-
