Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,D1_5,*,ALL,*,QUAL,*,0.973341,0.676552,0.0,0.798253,267,16321,2809068885,,0.000000,246144,.,.,136881.000000,88397.000000,,1.548480152041359,239582,.,.,134137.000000,87275.000000,,1.5369464336866228,6562,.,.,2744.000000,1122.000000,,2.445632798573975,360089,.,.,233483.000000,126312.000000,,1.8484625372094496,243619,.,.,156838.000000,86758.000000,,1.807764125498513,116470,.,.,76645.000000,39554.000000,,1.937730697274612,0,.,.,0.000000,0.000000,,
INDEL,D1_5,*,PASS,*,QUAL,*,0.973341,0.676552,0.0,0.798253,267,16321,2809068885,,0.000000,246144,.,.,136881.000000,88397.000000,,1.548480152041359,239582,.,.,134137.000000,87275.000000,,1.5369464336866228,6562,.,.,2744.000000,1122.000000,,2.445632798573975,360089,.,.,233483.000000,126312.000000,,1.8484625372094496,243619,.,.,156838.000000,86758.000000,,1.807764125498513,116470,.,.,76645.000000,39554.000000,,1.937730697274612,0,.,.,0.000000,0.000000,,
INDEL,D6_15,*,ALL,*,QUAL,*,0.924592,0.5734060000000001,0.0,0.707833,41,4246,2809068885,,0.000000,32503,.,.,14787.000000,8167.000000,,1.8105791600342842,30052,.,.,14107.000000,7984.000000,,1.7669088176352705,2451,.,.,680.000000,183.000000,,3.7158469945355193,55125,.,.,40556.000000,14421.000000,,2.812287636086263,31609,.,.,23565.000000,8041.000000,,2.9306056460639223,23516,.,.,16991.000000,6380.000000,,2.663166144200627,0,.,.,0.000000,0.000000,,
INDEL,D6_15,*,PASS,*,QUAL,*,0.924592,0.5734060000000001,0.0,0.707833,41,4246,2809068885,,0.000000,32503,.,.,14787.000000,8167.000000,,1.8105791600342842,30052,.,.,14107.000000,7984.000000,,1.7669088176352705,2451,.,.,680.000000,183.000000,,3.7158469945355193,55125,.,.,40556.000000,14421.000000,,2.812287636086263,31609,.,.,23565.000000,8041.000000,,2.9306056460639223,23516,.,.,16991.000000,6380.000000,,2.663166144200627,0,.,.,0.000000,0.000000,,
INDEL,I16_PLUS,*,ALL,*,QUAL,*,0.791034,0.40701,0.0,0.537474,13,1075,2809068885,,0.000000,6982,.,.,3629.000000,1840.000000,,1.9722826086956522,5523,.,.,2792.000000,1614.000000,,1.7298636926889714,1459,.,.,837.000000,226.000000,,3.7035398230088497,13695,.,.,7142.000000,3757.000000,,1.9009848283204684,5574,.,.,2969.000000,1620.000000,,1.8327160493827162,8121,.,.,4173.000000,2137.000000,,1.9527374824520356,0,.,.,0.000000,0.000000,,
INDEL,I16_PLUS,*,PASS,*,QUAL,*,0.791034,0.40701,0.0,0.537474,13,1075,2809068885,,0.000000,6982,.,.,3629.000000,1840.000000,,1.9722826086956522,5523,.,.,2792.000000,1614.000000,,1.7298636926889714,1459,.,.,837.000000,226.000000,,3.7035398230088497,13695,.,.,7142.000000,3757.000000,,1.9009848283204684,5574,.,.,2969.000000,1620.000000,,1.8327160493827162,8121,.,.,4173.000000,2137.000000,,1.9527374824520356,0,.,.,0.000000,0.000000,,
INDEL,I1_5,*,ALL,*,QUAL,*,0.9686290000000001,0.654093,0.0,0.780877,231,16094,2809068885,,0.000000,235120,.,.,119317.000000,94422.000000,,1.2636567749041536,227744,.,.,116337.000000,92961.000000,,1.251460289798948,7376,.,.,2980.000000,1461.000000,,2.0396988364134154,345003,.,.,202113.000000,129587.000000,,1.5596703373023528,225664,.,.,124542.000000,92308.000000,,1.3492005026649911,119339,.,.,77571.000000,37279.000000,,2.080822983449127,0,.,.,0.000000,0.000000,,
INDEL,I1_5,*,PASS,*,QUAL,*,0.9686290000000001,0.654093,0.0,0.780877,231,16094,2809068885,,0.000000,235120,.,.,119317.000000,94422.000000,,1.2636567749041536,227744,.,.,116337.000000,92961.000000,,1.251460289798948,7376,.,.,2980.000000,1461.000000,,2.0396988364134154,345003,.,.,202113.000000,129587.000000,,1.5596703373023528,225664,.,.,124542.000000,92308.000000,,1.3492005026649911,119339,.,.,77571.000000,37279.000000,,2.080822983449127,0,.,.,0.000000,0.000000,,
INDEL,I6_15,*,ALL,*,QUAL,*,0.9086780000000001,0.623609,0.0,0.739626,28,2814,2809068885,,0.000000,30825,.,.,14133.000000,7756.000000,,1.8222021660649819,28010,.,.,13078.000000,7487.000000,,1.7467610524909845,2815,.,.,1055.000000,269.000000,,3.9219330855018586,45296,.,.,24199.000000,12812.000000,,1.8887761473618483,28247,.,.,15303.000000,7551.000000,,2.0266189908621373,17049,.,.,8896.000000,5261.000000,,1.6909332826458847,0,.,.,0.000000,0.000000,,
INDEL,I6_15,*,PASS,*,QUAL,*,0.9086780000000001,0.623609,0.0,0.739626,28,2814,2809068885,,0.000000,30825,.,.,14133.000000,7756.000000,,1.8222021660649819,28010,.,.,13078.000000,7487.000000,,1.7467610524909845,2815,.,.,1055.000000,269.000000,,3.9219330855018586,45296,.,.,24199.000000,12812.000000,,1.8887761473618483,28247,.,.,15303.000000,7551.000000,,2.0266189908621373,17049,.,.,8896.000000,5261.000000,,1.6909332826458847,0,.,.,0.000000,0.000000,,
SNP,*,*,ALL,*,QUAL,*,0.987816,0.91022,0.0,0.9474319999999999,995,16887,2809068885,,0.000000,3356521,2276053.000000,1081152.000000,2027097.000000,1328388.000000,2.1052109231634404,1.5259826195358586,3315624,2249499.000000,1066763.000000,2000109.000000,1314536.000000,2.1087148691883764,1.5215323125422202,40897,26554.000000,14389.000000,26988.000000,13852.000000,1.8454374869692125,1.9483107132544037,3647971,2446613.000000,1202235.000000,2209330.000000,1437307.000000,2.035053878817369,1.537131594015753,3320455,2251470.000000,1069623.000000,2003701.000000,1315777.000000,2.104919209852443,1.5228271964018218,327516,195143.000000,132612.000000,205629.000000,121530.000000,1.4715334962145206,1.6920019748210318,0,0.000000,0.000000,0.000000,0.000000,,
SNP,*,*,PASS,*,QUAL,*,0.987816,0.91022,0.0,0.9474319999999999,995,16887,2809068885,,0.000000,3356521,2276053.000000,1081152.000000,2027097.000000,1328388.000000,2.1052109231634404,1.5259826195358586,3315624,2249499.000000,1066763.000000,2000109.000000,1314536.000000,2.1087148691883764,1.5215323125422202,40897,26554.000000,14389.000000,26988.000000,13852.000000,1.8454374869692125,1.9483107132544037,3647971,2446613.000000,1202235.000000,2209330.000000,1437307.000000,2.035053878817369,1.537131594015753,3320455,2251470.000000,1069623.000000,2003701.000000,1315777.000000,2.104919209852443,1.5228271964018218,327516,195143.000000,132612.000000,205629.000000,121530.000000,1.4715334962145206,1.6920019748210318,0,0.000000,0.000000,0.000000,0.000000,,
