Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio,	run
INDEL,PASS,525469,520341,5128,924072,4635,377393,2169,422,0.990241,0.9915219999999999,0.408402,0.9908809999999999,,,1.528275734138537,1.951811531291873,	haplotypecaller_HG002_bwamem2
SNP,ALL,3365127,3343094,22033,3992977,29760,619180,2591,2327,0.993453,0.991179,0.155067,0.992315,2.1001284867575745,1.9463298235261577,1.5811958532541182,1.740612703187128,	haplotypecaller_HG002_bwamem2
SNP,PASS,3365127,3343094,22033,3992977,29760,619180,2591,2327,0.993453,0.991179,0.155067,0.992315,2.1001284867575745,1.9463298235261577,1.5811958532541182,1.740612703187128,	haplotypecaller_HG002_bwamem2
INDEL,ALL,525469,519276,6193,904781,4994,361247,2440,592,0.9882139999999999,0.990812,0.39926500000000004,0.989511,,,1.528275734138537,1.9799957488013982,	strelka_HG002_bwamem2
INDEL,PASS,525469,518106,7363,861895,2394,322070,1449,313,0.9859879999999999,0.9955649999999999,0.373677,0.9907530000000001,,,1.528275734138537,1.8948845441335473,	strelka_HG002_bwamem2
SNP,ALL,3365127,3343822,21305,4192830,36787,808832,3586,4321,0.993669,0.989129,0.192908,0.991394,2.1001284867575745,1.861616386971149,1.5811958532541182,1.8347555741354433,	strelka_HG002_bwamem2
SNP,PASS,3365127,3329714,35413,3690198,3686,353534,762,636,0.989476,0.9988950000000001,0.095804,0.9941639999999999,2.1001284867575745,2.0371216334966875,1.5811958532541182,1.5753346998732134,	strelka_HG002_bwamem2
INDEL,ALL,525469,519276,6193,904781,4994,361247,2440,592,0.9882139999999999,0.990812,0.39926500000000004,0.989511,,,1.528275734138537,1.9799957488013982,	strelka_HG002_bwa
INDEL,PASS,525469,518106,7363,861895,2394,322070,1449,313,0.9859879999999999,0.9955649999999999,0.373677,0.9907530000000001,,,1.528275734138537,1.8948845441335473,	strelka_HG002_bwa
SNP,ALL,3365127,3343822,21305,4192830,36787,808832,3586,4321,0.993669,0.989129,0.192908,0.991394,2.1001284867575745,1.861616386971149,1.5811958532541182,1.8347555741354433,	strelka_HG002_bwa
SNP,PASS,3365127,3329714,35413,3690198,3686,353534,762,636,0.989476,0.9988950000000001,0.095804,0.9941639999999999,2.1001284867575745,2.0371216334966875,1.5811958532541182,1.5753346998732134,	strelka_HG002_bwa
INDEL,ALL,525469,512241,13228,907073,1637,371518,1276,242,0.974826,0.996943,0.40957899999999997,0.9857610000000001,,,1.528275734138537,1.982265699812878,	deepvariant_HG002_dragmap
INDEL,PASS,525469,512241,13228,907073,1637,371518,1276,242,0.974826,0.996943,0.40957899999999997,0.9857610000000001,,,1.528275734138537,1.982265699812878,	deepvariant_HG002_dragmap
SNP,ALL,3365127,3268081,97046,3686467,3377,413255,2171,261,0.971161,0.9989680000000001,0.11210099999999999,0.9848690000000001,2.1001284867575745,1.9930920572050062,1.5811958532541182,1.500026461524265,	deepvariant_HG002_dragmap
SNP,PASS,3365127,3268081,97046,3686467,3377,413255,2171,261,0.971161,0.9989680000000001,0.11210099999999999,0.9848690000000001,2.1001284867575745,1.9930920572050062,1.5811958532541182,1.500026461524265,	deepvariant_HG002_dragmap
INDEL,ALL,525469,499422,26047,869835,13381,338749,10911,1265,0.9504309999999999,0.9748040000000001,0.389441,0.962463,,,1.528275734138537,1.885576088136329,	freebayes_HG002_dragmap
INDEL,PASS,525469,499422,26047,869835,13381,338749,10911,1265,0.9504309999999999,0.9748040000000001,0.389441,0.962463,,,1.528275734138537,1.885576088136329,	freebayes_HG002_dragmap
SNP,ALL,3365127,3269751,95376,4095691,78251,743863,3469,11195,0.971658,0.9766540000000001,0.181621,0.9741489999999999,2.1001284867575745,1.858378903401689,1.5811958532541182,1.712307884940644,	freebayes_HG002_dragmap
SNP,PASS,3365127,3269751,95376,4095691,78251,743863,3469,11195,0.971658,0.9766540000000001,0.181621,0.9741489999999999,2.1001284867575745,1.858378903401689,1.5811958532541182,1.712307884940644,	freebayes_HG002_dragmap
INDEL,ALL,525469,509523,15946,880479,3471,346549,2525,251,0.9696540000000001,0.993499,0.39359099999999997,0.981432,,,1.528275734138537,1.8953006009996425,	haplotypecaller_filtered_HG002_dragmap
INDEL,PASS,525469,509154,16315,867106,3023,333993,2519,211,0.968952,0.9943299999999999,0.385181,0.981477,,,1.528275734138537,1.8524282527178406,	haplotypecaller_filtered_HG002_dragmap
SNP,ALL,3365127,3261881,103246,3717472,10773,443729,1670,831,0.969319,0.9967090000000001,0.11936300000000001,0.982823,2.1001284867575745,1.9913656204798826,1.5811958532541182,1.6475912949617222,	haplotypecaller_filtered_HG002_dragmap
SNP,PASS,3365127,3261881,103246,3713990,10773,440247,1670,831,0.969319,0.9967090000000001,0.11853699999999999,0.982823,2.1001284867575745,1.9928814097322312,1.5811958532541182,1.6457219984934832,	haplotypecaller_filtered_HG002_dragmap
INDEL,ALL,525469,509523,15946,880479,3471,346549,2525,251,0.9696540000000001,0.993499,0.39359099999999997,0.981432,,,1.528275734138537,1.8953006009996425,	haplotypecaller_HG002_dragmap
INDEL,PASS,525469,509523,15946,880479,3471,346549,2525,251,0.9696540000000001,0.993499,0.39359099999999997,0.981432,,,1.528275734138537,1.8953006009996425,	haplotypecaller_HG002_dragmap
SNP,ALL,3365127,3261881,103246,3717472,10773,443729,1670,831,0.969319,0.9967090000000001,0.11936300000000001,0.982823,2.1001284867575745,1.9913656204798826,1.5811958532541182,1.6475912949617222,	haplotypecaller_HG002_dragmap
SNP,PASS,3365127,3261881,103246,3717472,10773,443729,1670,831,0.969319,0.9967090000000001,0.11936300000000001,0.982823,2.1001284867575745,1.9913656204798826,1.5811958532541182,1.6475912949617222,	haplotypecaller_HG002_dragmap
INDEL,ALL,525469,509387,16082,872015,3689,339976,2369,458,0.9693950000000001,0.993066,0.389874,0.981088,,,1.528275734138537,1.9442437579582572,	strelka_HG002_dragmap
