Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio,	run
SNP,ALL,3346610,3325469,21141,3821406,2713,491604,989,293,0.993683,0.999185,0.128645,0.996426,2.1007747126671035,1.984123118235503,1.5868716016850075,1.519051278076965,	deepvariant_HG004_bwa
SNP,PASS,3346610,3325469,21141,3821406,2713,491604,989,293,0.993683,0.999185,0.128645,0.996426,2.1007747126671035,1.984123118235503,1.5868716016850075,1.519051278076965,	deepvariant_HG004_bwa
INDEL,ALL,510519,494755,15764,900457,14207,373318,10656,1027,0.9691219999999999,0.9730489999999999,0.414587,0.971081,,,1.5161307355192988,1.9100635117648612,	freebayes_HG004_bwa
INDEL,PASS,510519,494755,15764,900457,14207,373318,10656,1027,0.9691219999999999,0.9730489999999999,0.414587,0.971081,,,1.5161307355192988,1.9100635117648612,	freebayes_HG004_bwa
SNP,ALL,3346610,3327104,19506,4428235,105085,992572,3260,13181,0.9941709999999999,0.969413,0.224146,0.9816360000000001,2.1007747126671035,1.8156936359781808,1.5868716016850075,1.8859889402327885,	freebayes_HG004_bwa
SNP,PASS,3346610,3327104,19506,4428235,105085,992572,3260,13181,0.9941709999999999,0.969413,0.224146,0.9816360000000001,2.1007747126671035,1.8156936359781808,1.5868716016850075,1.8859889402327885,	freebayes_HG004_bwa
INDEL,ALL,510519,504832,5687,921606,5254,390373,2740,536,0.9888600000000001,0.99011,0.423579,0.9894850000000001,,,1.5161307355192988,1.9474935248024654,	haplotypecaller_filtered_HG004_bwa
INDEL,PASS,510519,504627,5892,906497,3984,376739,2735,388,0.988459,0.9924799999999999,0.415599,0.9904649999999999,,,1.5161307355192988,1.8990819971072577,	haplotypecaller_filtered_HG004_bwa
SNP,ALL,3346610,3323996,22614,4002012,30778,646418,2408,3121,0.993243,0.990828,0.161523,0.992034,2.1007747126671035,1.9464017210328257,1.5868716016850075,1.7552637868957588,	haplotypecaller_filtered_HG004_bwa
SNP,PASS,3346610,3323996,22614,3996245,30777,640652,2408,3121,0.993243,0.990828,0.160313,0.992034,2.1007747126671035,1.9488929297251043,1.5868716016850075,1.752494071906176,	haplotypecaller_filtered_HG004_bwa
INDEL,ALL,510519,504832,5687,921605,5254,390372,2740,536,0.9888600000000001,0.99011,0.42357799999999995,0.9894850000000001,,,1.5161307355192988,1.9474869676404052,	haplotypecaller_HG004_bwa
INDEL,PASS,510519,504832,5687,921605,5254,390372,2740,536,0.9888600000000001,0.99011,0.42357799999999995,0.9894850000000001,,,1.5161307355192988,1.9474869676404052,	haplotypecaller_HG004_bwa
SNP,ALL,3346610,3323996,22614,4002012,30778,646418,2408,3121,0.993243,0.990828,0.161523,0.992034,2.1007747126671035,1.9464017210328257,1.5868716016850075,1.7552637868957588,	haplotypecaller_HG004_bwa
SNP,PASS,3346610,3323996,22614,4002012,30778,646418,2408,3121,0.993243,0.990828,0.161523,0.992034,2.1007747126671035,1.9464017210328257,1.5868716016850075,1.7552637868957588,	haplotypecaller_HG004_bwa
INDEL,ALL,510519,506995,3524,930979,1776,400433,1339,275,0.9930969999999999,0.996653,0.43012,0.994872,,,1.5161307355192988,1.9992113643066136,	deepvariant_HG004_bwamem2
INDEL,PASS,510519,506995,3524,930979,1776,400433,1339,275,0.9930969999999999,0.996653,0.43012,0.994872,,,1.5161307355192988,1.9992113643066136,	deepvariant_HG004_bwamem2
SNP,ALL,3346610,3325469,21141,3821406,2713,491604,989,293,0.993683,0.999185,0.128645,0.996426,2.1007747126671035,1.984123118235503,1.5868716016850075,1.519051278076965,	deepvariant_HG004_bwamem2
SNP,PASS,3346610,3325469,21141,3821406,2713,491604,989,293,0.993683,0.999185,0.128645,0.996426,2.1007747126671035,1.984123118235503,1.5868716016850075,1.519051278076965,	deepvariant_HG004_bwamem2
INDEL,ALL,510519,494755,15764,900458,14207,373319,10656,1027,0.9691219999999999,0.9730489999999999,0.414588,0.971081,,,1.5161307355192988,1.910066812792141,	freebayes_HG004_bwamem2
INDEL,PASS,510519,494755,15764,900458,14207,373319,10656,1027,0.9691219999999999,0.9730489999999999,0.414588,0.971081,,,1.5161307355192988,1.910066812792141,	freebayes_HG004_bwamem2
SNP,ALL,3346610,3327104,19506,4428234,105085,992571,3260,13181,0.9941709999999999,0.969413,0.224146,0.9816360000000001,2.1007747126671035,1.815694790186052,1.5868716016850075,1.8859882882007633,	freebayes_HG004_bwamem2
SNP,PASS,3346610,3327104,19506,4428234,105085,992571,3260,13181,0.9941709999999999,0.969413,0.224146,0.9816360000000001,2.1007747126671035,1.815694790186052,1.5868716016850075,1.8859882882007633,	freebayes_HG004_bwamem2
INDEL,ALL,510519,504832,5687,921606,5254,390373,2740,536,0.9888600000000001,0.99011,0.423579,0.9894850000000001,,,1.5161307355192988,1.9474935248024654,	haplotypecaller_filtered_HG004_bwamem2
INDEL,PASS,510519,504627,5892,906497,3984,376739,2735,388,0.988459,0.9924799999999999,0.415599,0.9904649999999999,,,1.5161307355192988,1.8990819971072577,	haplotypecaller_filtered_HG004_bwamem2
SNP,ALL,3346610,3323996,22614,4002012,30778,646418,2408,3121,0.993243,0.990828,0.161523,0.992034,2.1007747126671035,1.9464017210328257,1.5868716016850075,1.7552637868957588,	haplotypecaller_filtered_HG004_bwamem2
SNP,PASS,3346610,3323996,22614,3996245,30777,640652,2408,3121,0.993243,0.990828,0.160313,0.992034,2.1007747126671035,1.9488929297251043,1.5868716016850075,1.752494071906176,	haplotypecaller_filtered_HG004_bwamem2
INDEL,ALL,510519,504832,5687,921605,5254,390372,2740,536,0.9888600000000001,0.99011,0.42357799999999995,0.9894850000000001,,,1.5161307355192988,1.9474869676404052,	haplotypecaller_HG004_bwamem2
INDEL,PASS,510519,504832,5687,921605,5254,390372,2740,536,0.9888600000000001,0.99011,0.42357799999999995,0.9894850000000001,,,1.5161307355192988,1.9474869676404052,	haplotypecaller_HG004_bwamem2
SNP,ALL,3346610,3323996,22614,4002012,30778,646418,2408,3121,0.993243,0.990828,0.161523,0.992034,2.1007747126671035,1.9464017210328257,1.5868716016850075,1.7552637868957588,	haplotypecaller_HG004_bwamem2
SNP,PASS,3346610,3323996,22614,4002012,30778,646418,2408,3121,0.993243,0.990828,0.161523,0.992034,2.1007747126671035,1.9464017210328257,1.5868716016850075,1.7552637868957588,	haplotypecaller_HG004_bwamem2
INDEL,ALL,510519,504393,6126,904821,4840,376446,2688,465,0.988,0.9908399999999999,0.416045,0.989418,,,1.5161307355192988,1.971797683273016,	strelka_HG004_bwamem2
INDEL,PASS,510519,502988,7531,861146,2532,336442,1695,263,0.9852479999999999,0.995174,0.390691,0.990187,,,1.5161307355192988,1.8864291431771258,	strelka_HG004_bwamem2
SNP,ALL,3346610,3324814,21796,4227843,38610,861342,3524,4542,0.9934870000000001,0.9885309999999999,0.203731,0.9910030000000001,2.1007747126671035,1.852793768271772,1.5868716016850075,1.8683920970230454,	strelka_HG004_bwamem2
SNP,PASS,3346610,3309598,37012,3701628,3478,385608,704,529,0.9889399999999999,0.998951,0.104173,0.9939209999999999,2.1007747126671035,2.0340546391845504,1.5868716016850075,1.5906507389286724,	strelka_HG004_bwamem2
INDEL,ALL,510519,504393,6126,904821,4840,376446,2688,465,0.988,0.9908399999999999,0.416045,0.989418,,,1.5161307355192988,1.971797683273016,	strelka_HG004_bwa
INDEL,PASS,510519,502988,7531,861146,2532,336442,1695,263,0.9852479999999999,0.995174,0.390691,0.990187,,,1.5161307355192988,1.8864291431771258,	strelka_HG004_bwa
SNP,ALL,3346610,3324814,21796,4227843,38610,861342,3524,4542,0.9934870000000001,0.9885309999999999,0.203731,0.9910030000000001,2.1007747126671035,1.852793768271772,1.5868716016850075,1.8683920970230454,	strelka_HG004_bwa
SNP,PASS,3346610,3309598,37012,3701628,3478,385608,704,529,0.9889399999999999,0.998951,0.104173,0.9939209999999999,2.1007747126671035,2.0340546391845504,1.5868716016850075,1.5906507389286724,	strelka_HG004_bwa
INDEL,ALL,510519,497783,12736,908134,1903,387035,1495,266,0.9750530000000001,0.996348,0.426187,0.985585,,,1.5161307355192988,1.9873538946755733,	deepvariant_HG004_dragmap
INDEL,PASS,510519,497783,12736,908134,1903,387035,1495,266,0.9750530000000001,0.996348,0.426187,0.985585,,,1.5161307355192988,1.9873538946755733,	deepvariant_HG004_dragmap
SNP,ALL,3346610,3251895,94715,3700157,3812,442840,2223,232,0.971698,0.9988299999999999,0.119681,0.9850770000000001,2.1007747126671035,1.9918971919857862,1.5868716016850075,1.5163377792050774,	deepvariant_HG004_dragmap
SNP,PASS,3346610,3251895,94715,3700157,3812,442840,2223,232,0.971698,0.9988299999999999,0.119681,0.9850770000000001,2.1007747126671035,1.9918971919857862,1.5868716016850075,1.5163377792050774,	deepvariant_HG004_dragmap
INDEL,ALL,510519,485776,24743,872619,12985,355660,10800,920,0.951534,0.974882,0.407578,0.963066,,,1.5161307355192988,1.9010792222531823,	freebayes_HG004_dragmap
INDEL,PASS,510519,485776,24743,872619,12985,355660,10800,920,0.951534,0.974882,0.407578,0.963066,,,1.5161307355192988,1.9010792222531823,	freebayes_HG004_dragmap
SNP,ALL,3346610,3254038,92572,4112541,76415,778672,3284,9792,0.972339,0.9770790000000001,0.189341,0.9747030000000001,2.1007747126671035,1.8534494240785395,1.5868716016850075,1.731016793430639,	freebayes_HG004_dragmap
SNP,PASS,3346610,3254038,92572,4112541,76415,778672,3284,9792,0.972339,0.9770790000000001,0.189341,0.9747030000000001,2.1007747126671035,1.8534494240785395,1.5868716016850075,1.731016793430639,	freebayes_HG004_dragmap
INDEL,ALL,510519,494667,15852,880172,4035,361034,3037,282,0.968949,0.9922280000000001,0.41018599999999994,0.98045,,,1.5161307355192988,1.8969784716527116,	haplotypecaller_filtered_HG004_dragmap
INDEL,PASS,510519,494340,16179,867134,3608,348750,3027,234,0.968309,0.9930399999999999,0.402187,0.980518,,,1.5161307355192988,1.8558417647754337,	haplotypecaller_filtered_HG004_dragmap
SNP,ALL,3346610,3245620,100990,3727432,11867,469010,1690,997,0.969823,0.996358,0.125827,0.9829120000000001,2.1007747126671035,1.991346919912675,1.5868716016850075,1.661368949534905,	haplotypecaller_filtered_HG004_dragmap
SNP,PASS,3346610,3245620,100990,3722652,11863,464234,1690,997,0.969823,0.996359,0.124705,0.9829120000000001,2.1007747126671035,1.9931376308146662,1.5868716016850075,1.6585310965337798,	haplotypecaller_filtered_HG004_dragmap
INDEL,ALL,510519,494667,15852,880172,4035,361034,3037,282,0.968949,0.9922280000000001,0.41018599999999994,0.98045,,,1.5161307355192988,1.8969784716527116,	haplotypecaller_HG004_dragmap
INDEL,PASS,510519,494667,15852,880172,4035,361034,3037,282,0.968949,0.9922280000000001,0.41018599999999994,0.98045,,,1.5161307355192988,1.8969784716527116,	haplotypecaller_HG004_dragmap
SNP,ALL,3346610,3245620,100990,3727432,11867,469010,1690,997,0.969823,0.996358,0.125827,0.9829120000000001,2.1007747126671035,1.991346919912675,1.5868716016850075,1.661368949534905,	haplotypecaller_HG004_dragmap
SNP,PASS,3346610,3245620,100990,3727432,11867,469010,1690,997,0.969823,0.996358,0.125827,0.9829120000000001,2.1007747126671035,1.991346919912675,1.5868716016850075,1.661368949534905,	haplotypecaller_HG004_dragmap
INDEL,ALL,510519,494950,15569,872619,3814,355015,2645,354,0.969504,0.9926309999999999,0.40683800000000003,0.980931,,,1.5161307355192988,1.9363459602575948,	strelka_HG004_dragmap
INDEL,PASS,510519,493623,16896,835611,2059,321060,1678,191,0.9669040000000001,0.9959979999999999,0.38422199999999995,0.9812360000000001,,,1.5161307355192988,1.8689348070965925,	strelka_HG004_dragmap
SNP,ALL,3346610,3247731,98879,3949667,40638,658259,3415,4683,0.970454,0.9876530000000001,0.16666199999999998,0.978978,2.1007747126671035,1.8899464900313452,1.5868716016850075,1.786498606794102,	strelka_HG004_dragmap
SNP,PASS,3346610,3232254,114356,3579938,2412,342352,603,425,0.965829,0.9992549999999999,0.095631,0.982258,2.1007747126671035,2.037818077545002,1.5868716016850075,1.5854052534961056,	strelka_HG004_dragmap
