task_id	hash	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action
15	c3/a9e083	1528412	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED	wgs_calling_regions_noseconds.hg38.bed	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (wgs_calling_regions_noseconds.hg38.bed)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-gawk-5.1.0.img	1	518400000	-	1073741824	1	1677659449148	1677659452650	1677659457627	8479	0	qbic	36.8	0.0	0	0	0	0	74824	9348	158	140	13213	516096	0	0	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/non_spark/work/c3/a9e0831d8fc440919967a66d558c32	true	-
20	87/752bf0	1528409	NFCORE_SAREK:SAREK:FASTP	CHC892N-1	NFCORE_SAREK:SAREK:FASTP (CHC892N-1)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastp-0.23.2--h79da9fb_0.img	12	518400000	-	4294967296	1	1677659449031	1677659452645	1677660492821	1043790	939000	qbic	999.7	0.4	2097324032	2970001408	2097352704	2970005504	93654633751	72384000594	45432	135014	93655707956	72384065536	94	105	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/non_spark/work/87/752bf014f13a1df32d5b6293f3f7f5	true	-
26	46/ae9b22	1528415	NFCORE_SAREK:SAREK:FASTQC	CHC912T-4	NFCORE_SAREK:SAREK:FASTQC (CHC912T-4)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastqc-0.11.9--0.img	4	518400000	-	4294967296	1	1677659449186	1677659452655	1677666768527	7319341	7315000	qbic	177.8	0.2	938229760	4096262144	949010432	4122365952	185238653207	4150556	364958317	12295	185242132291	9248768	195	110	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/non_spark/work/46/ae9b225cd9fdc08e753fba3ad54bb3	true	-
22	bc/68b898	1528408	NFCORE_SAREK:SAREK:FASTP	CHC892T-2	NFCORE_SAREK:SAREK:FASTP (CHC892T-2)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastp-0.23.2--h79da9fb_0.img	12	518400000	-	4294967296	1	1677659448986	1677659452643	1677661272918	1823932	1672000	qbic	981.8	0.4	2211508224	2970001408	2212605952	3037114368	162178826356	128439299424	78571	237982	162181109900	128439398400	126	69	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/non_spark/work/bc/68b89895f4500c6cccca66afad401c	true	-
28	a8/5d6801	1528417	NFCORE_SAREK:SAREK:FASTQC	CHC2111N-5	NFCORE_SAREK:SAREK:FASTQC (CHC2111N-5)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastqc-0.11.9--0.img	4	518400000	-	4294967296	1	1677659449224	1677659452658	1677664263208	4813984	4808000	qbic	160.3	0.2	946642944	4096262144	946642944	4122365952	98609295495	4126564	194414197	12319	98612778260	7782400	623	74	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/non_spark/work/a8/5d6801c0c69e76aaa40515d05e9a1e	true	-
24	de/0dda26	1528411	NFCORE_SAREK:SAREK:FASTP	CHC912N-3	NFCORE_SAREK:SAREK:FASTP (CHC912N-3)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastp-0.23.2--h79da9fb_0.img	12	518400000	-	4294967296	1	1677659449123	1677659452649	1677660857875	1408752	1248000	qbic	985.6	0.4	2087796736	2835783680	2089013248	2835787776	108380755333	98688730188	52571	195754	108383038879	98688819200	98	126	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/non_spark/work/de/0dda265a2d647735a1cba49f7c808c	true	-
29	71/10a5b6	1528419	NFCORE_SAREK:SAREK:FASTQC	CHC2111T-6	NFCORE_SAREK:SAREK:FASTQC (CHC2111T-6)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastqc-0.11.9--0.img	4	518400000	-	4294967296	1	1677659449247	1677659452661	1677667248588	7799341	7795000	qbic	159.5	0.2	843210752	4016181248	843210752	4083294208	164572015693	4153744	324464314	12485	164575473198	9318400	419	83	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/non_spark/work/71/10a5b66a8664df6944d9580ca240e3	true	-
25	fa/23095c	1528414	NFCORE_SAREK:SAREK:FASTP	CHC912T-4	NFCORE_SAREK:SAREK:FASTP (CHC912T-4)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastp-0.23.2--h79da9fb_0.img	12	518400000	-	4294967296	1	1677659449172	1677659452653	1677661933026	2483854	2156000	qbic	970.2	0.4	2151858176	2835783680	2152165376	2835787776	185229729916	169562552662	89726	335414	185230804114	169562660864	120	126	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/non_spark/work/fa/23095c25f080f4c132ce6a4cbf52e1	true	-
67	82/c4459e	1528561	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM	CHC892N-1	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (CHC892N-1)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-mulled-v2-fe8faa35dbf6dc65a0f7f5d4ea12e31a79f73e40-219b6c272b25e7e642ae3ff0bf0c5c81a5135ab4-0.img	24	518400000	-	64424509440	1	1677660500629	1677660507835	1677661978047	1477418	1464000	qbic	2219.0	5.2	28233621504	31156916224	29093863424	31287140352	49645004115	44376653149	8926966	8642289	7910627039	11707133952	147751	21606	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/non_spark/work/82/c4459e5995d27cdc0ac32c5012e8fc	true	-
68	30/13217c	1528613	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM	CHC912N-3	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (CHC912N-3)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-mulled-v2-fe8faa35dbf6dc65a0f7f5d4ea12e31a79f73e40-219b6c272b25e7e642ae3ff0bf0c5c81a5135ab4-0.img	24	518400000	-	64424509440	1	1677660858316	1677661983070	1677663418131	2559815	1430000	qbic	2216.9	5.1	27779751936	31224266752	28540248064	31358005248	58663381467	53173815366	10922985	10649079	7264433102	12648460288	185494	17556	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/non_spark/work/30/13217c6934d1c5ccfedf1d67ad4cc8	true	-
